Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,537,253,8727,648.14,0.000%,16.46389,8.75,2.56,544.0
TOTAL,1000,537,253,8727,648.14,0.000%,16.46389,8.75,2.56,544.0
